ConstituentID,DisplayName,candidats_scores_wikidata,date_naissance,Lieu_naissance,date_mort,Lieu_mort,Roles 1,Roles 2,Roles 3,Roles 4,Roles 5,Nationalite 1,Nationalite 2,Nationalite 3,Nationalite 4,Nationalite 5,Domaines_activite 1,Domaines_activite 2,Domaines_activite 3,Domaines_activite 4,Domaines_activite 5
87,Benno Adam,"{candidats : [('Q564471', 82.1176470588), ('Q2149066', 48.0588235294)]}",1812,Munich,1892,Kelheim,,,,,,Allemagne,,,,,peinture,,,,
27,A. Abel,"{candidats : [('Q124115', 72.7777777778), ('Q528631', 68.4444444444), ('Q700345', 64.6666666667), ('Q1708455', 64.4444444444), ('Q158174', 64.2222222222), ('Q78571', 62.4444444444), ('Q274614', 60.4444444444), ('Q23907909', 59.6666666667), ('Q134120', 59.5555555556), ('Q716743', 57.3333333333), ('Q27932', 56.2222222222), ('Q2121062', 56.2222222222), ('Q84497993', 56.2222222222), ('Q63781', 55.1111111111), ('Q251818', 54.3333333333), ('Q313572', 51.6666666667), ('Q704494', 51.1111111111), ('Q313421', 50.5555555556), ('Q318391', 50.0), ('Q493829', 49.8888888889), ('Q42188', 49.7777777778), ('Q318433', 48.3333333333), ('Q4666622', 47.4444444444), ('Q168539', 47.0), ('Q741428', 46.5555555556)]}",,,,,,,,,,France,,,,,sculpture,,,,
37,Edmond About,"{candidats : [('Q361004', 77.7777777778), ('Q130356411', 65.0), ('Q381815', 41.7777777778)]}",,,,,,,,,,France,,,,,architecture,,,,
89,Édouard Adam,"{candidats : [('Q3579712', 84.7058823529)]}",1847,Brie-Comte-Robert,1929,,Artiste,,,,,France,,,,,peinture,,,,
96,Julius I Adam aîné,,,,1874,Munich,,,,,,Allemagne,,,,,peinture,,,,
98,Lucie Sébastienne Adam,,,,,,,,,,,France,,,,,sculpture,,,,
115,E. Adams,"{candidats : [('Q20853572', 69.2222222222), ('Q60809', 68.8888888889), ('Q6166572', 64.6666666667), ('Q107186625', 58.6666666667), ('Q12346843', 57.7777777778), ('Q56678849', 51.6666666667), ('Q5538700', 50.8888888889), ('Q111288576', 49.5555555556), ('Q7945469', 48.8888888889), ('Q10308585', 48.8888888889), ('Q63224820', 48.8888888889), ('Q75457152', 48.8888888889), ('Q90227553', 48.8888888889), ('Q102241271', 48.8888888889), ('Q112437020', 48.8888888889), ('Q3376165', 48.6666666667), ('Q5294271', 47.0), ('Q5318147', 47.0), ('Q7416599', 47.0), ('Q8008185', 45.3333333333), ('Q18631113', 45.3333333333), ('Q26924608', 45.3333333333), ('Q55723279', 45.3333333333), ('Q125302958', 45.3333333333), ('Q5321710', 43.6666666667)]}",,,,,,,,,,France,,,,,architecture,,,,
147,Friedrich Adler,"{candidats : [('Q94659', 75.8947368421), ('Q116171625', 47.3684210526), ('Q93503', 46.4210526316), ('Q66113', 46.1052631579), ('Q1281899', 44.7368421053), ('Q16701082', 42.3157894737), ('Q85967', 39.3684210526), ('Q107294500', 36.8421052632), ('Q1531945', 36.6315789474), ('Q215037', 36.3157894737), ('Q104208124', 35.3157894737), ('Q104208057', 34.3157894737), ('Q60815393', 34.2631578947), ('Q27973384', 27.3157894737), ('Q94920804', 26.3157894737), ('Q133249851', 26.3157894737), ('Q94915936', 22.6315789474), ('Q94818209', 19.7368421053), ('Q102351587', 17.6315789474), ('Q132978772', 16.8421052632), ('Q102757165', 15.0)]}",1878,Laupheim,1942,Auschwitz-Birkenau,,,,,,Allemagne,,,,,peinture,arts décoratifs,,,
175,Alfred Agache,"{candidats : [('Q622587', 80.4210526316), ('Q1240579', 51.4736842105)]}",1843,Lille,1915,Cour-Cheverny,Artiste,,,,,France,,,,,peinture,,,,
199,Agostini,"{candidats : [('Q3107925', 72.1818181818), ('Q5676527', 58.6363636364), ('Q57076477', 58.6363636364), ('Q82227398', 58.6363636364), ('Q124218149', 55.8181818182), ('Q569020', 54.5454545455), ('Q3766428', 53.4545454545), ('Q316269', 52.5454545455), ('Q995669', 51.3636363636), ('Q43132912', 51.3636363636), ('Q104161652', 51.3636363636), ('Q57020342', 50.8181818182), ('Q1987210', 50.0), ('Q253450', 48.6363636364), ('Q869006', 48.6363636364), ('Q1891505', 48.6363636364), ('Q3606749', 48.6363636364), ('Q58336851', 48.6363636364), ('Q972466', 48.2727272727), ('Q3855836', 48.2727272727), ('Q1933032', 47.4545454545), ('Q723843', 47.2727272727), ('Q2148760', 47.2727272727), ('Q535521', 46.9090909091), ('Q37673083', 46.7272727273)]}",,,,,,,,,,France,Italie,,,,sculpture,,,,
99,Lucien Claude Edme Adam,,1833,Paris,,,,,,,,France,,,,,peinture,,,,
107,Clémence Adam-Manceau,,,,,,,,,,,France,,,,,peinture,,,,
129,Adat,"{candidats : [('Q25247911', 55.5555555556), ('Q101128726', 55.5555555556), ('Q101133102', 55.5555555556), ('Q101194140', 55.5555555556), ('Q213464', 49.4444444444), ('Q352669', 49.4444444444), ('Q114566552', 49.4444444444), ('Q3673455', 40.5555555556), ('Q6066721', 40.5555555556), ('Q130513649', 37.2222222222), ('Q57691803', 29.4444444444), ('Q83687826', 29.4444444444), ('Q13109851', 25.5555555556), ('Q10400986', 24.4444444444), ('Q65988197', 23.3333333333), ('Q125240242', 19.4444444444), ('Q123843574', 17.2222222222), ('Q126193064', 13.8888888889), ('Q64827398', 7.77777777778)]}",,,,,,,,,,France,,,,,arts décoratifs,,,,
136,Charles Adelgeist,,,,,,,,,,,France,,,,,architecture,,,,
208,Aguettant,"{candidats : [('Q3260981', 63.8888888889), ('Q48329507', 57.7777777778), ('Q2827330', 55.5555555556), ('Q115580084', 41.6666666667), ('Q131898863', 41.6666666667), ('Q110612522', 40.0), ('Q126878499', 38.3333333333)]}",,,,,,,,,,France,,,,,architecture,,,,
216,Antun Augustinčić,"{candidats : [('Q594440', 82.0)]}",1900,Klanjec,1979,Zagreb,,,,,,Croatie,,,,,sculpture,,,,
263,Augustin Daniel Alaux,,1853,Bordeaux,,,,,,,,France,,,,,architecture,,,,
298,M. Albinhac,"{candidats : [('Q471644', 49.4444444444), ('Q958487', 49.4444444444)]}",,,,,,,,,,France,,,,,arts décoratifs,,,,
299,Albino,"{candidats : [('Q31762759', 51.3529411765), ('Q174606', 45.7647058824), ('Q37278', 44.8823529412), ('Q15845661', 41.9411764706), ('Q2639667', 41.5294117647), ('Q3608785', 40.2941176471), ('Q28502195', 40.1176470588), ('Q4712426', 38.7647058824), ('Q1060118', 38.4117647059), ('Q3608775', 37.5882352941), ('Q117441714', 36.7058823529), ('Q4712450', 35.8823529412), ('Q2490132', 35.3529411765), ('Q1528940', 34.5294117647), ('Q657941', 34.1176470588), ('Q16528079', 33.9411764706), ('Q861599', 33.0), ('Q1526652', 33.0), ('Q4712428', 32.8823529412), ('Q104625385', 32.2352941176), ('Q547047', 31.7647058824), ('Q3608769', 30.6470588235), ('Q30161420', 30.4705882353), ('Q53489', 29.4117647059), ('Q52788973', 29.4117647059)]}",1865,Gênes,1946,Savone,,,,,,Italie,,,,,sculpture,,,,
302,Alfred Alboy-Rebouet,"{candidats : [('Q52150085', 76.4705882353)]}",1841,Paris,1875,Gand,,,,,,France,,,,,peinture,,,,
313,José Alcázar Tejedor,"{candidats : [('Q60024643', 84.6153846154)]}",1850,Madrid,,,,,,,,Espagne,,,,,peinture,,,,
324,Mary Austin Aldrich,,,,,,,,,,,Etats-Unis,,,,,sculpture,,,,
343,Marius Alexandre,"{candidats : [('Q760945', 68.8888888889), ('Q96708306', 68.8888888889), ('Q27999172', 66.6666666667), ('Q111462679', 61.6666666667), ('Q130366044', 61.1111111111), ('Q2275652', 58.6666666667), ('Q20028673', 50.3333333333), ('Q6765943', 49.8888888889), ('Q2643761', 46.2222222222), ('Q130883340', 45.5555555556), ('Q75600481', 44.4444444444), ('Q122946623', 43.3333333333), ('Q3293766', 41.6666666667), ('Q99608001', 39.4444444444)]}",,,,,,,,,,France,,,,,arts décoratifs,,,,
356,Rafael Alguero,,,,,,,,,,,Espagne,,,,,sculpture,,,,
365,Charlotte Alix,"{candidats : [('Q3176155', 77.7777777778), ('Q23782666', 51.1111111111), ('Q102390358', 43.3333333333), ('Q2431719', 38.4444444444), ('Q152260', 37.8888888889), ('Q75946088', 37.7777777778), ('Q75361803', 26.6666666667), ('Q115619954', 26.6666666667), ('Q111174260', 25.0)]}",,,,,,,,,,France,,,,,arts décoratifs,,,,
185,Agero,"{candidats : [('Q11360183', 55.5555555556), ('Q392997', 50.5555555556), ('Q107736112', 50.5555555556), ('Q53919443', 48.3333333333), ('Q71614', 46.1111111111), ('Q114888472', 45.5555555556), ('Q17364356', 40.6666666667), ('Q107665948', 37.7777777778), ('Q1883177', 37.2222222222), ('Q5883264', 37.1111111111), ('Q6177780', 36.4444444444), ('Q7336598', 34.6666666667), ('Q111080977', 34.4444444444), ('Q112727374', 31.1111111111), ('Q117194079', 31.1111111111), ('Q5998056', 29.4444444444), ('Q5769872', 28.8888888889), ('Q118725645', 28.3333333333), ('Q55071291', 27.7777777778), ('Q123848343', 27.7777777778), ('Q28122296', 26.8888888889), ('Q20006089', 26.6666666667), ('Q102420370', 24.4444444444), ('Q55837661', 23.8888888889), ('Q112134994', 19.4444444444)]}",,,,,,,,,,France,,,,,arts décoratifs,,,,
251,Paul Akers,"{candidats : [('Q955998', 100.0), ('Q102342155', 29.4117647059), ('Q132191408', 22.2941176471)]}",1825,Saccarappa,1861,Philadelphie,,,,,,Etats-Unis,,,,,sculpture,,,,
286,Joseph Albert,"{candidats : [('Q110017775', 84.3529411765), ('Q603868', 50.0), ('Q3184470', 48.7058823529), ('Q768699', 46.1176470588), ('Q9144266', 45.8235294118), ('Q1706986', 45.7058823529), ('Q16010220', 44.8235294118), ('Q59650906', 44.7647058824), ('Q108752424', 43.4705882353), ('Q72618', 43.1764705882), ('Q2831588', 41.6470588235), ('Q15235731', 41.4117647059), ('Q53455560', 41.1764705882), ('Q2831222', 39.7647058824), ('Q108703045', 39.3529411765), ('Q2622119', 38.8235294118), ('Q64147673', 38.5882352941), ('Q4476097', 38.4705882353), ('Q94891431', 38.0), ('Q3198575', 37.7647058824), ('Q708395', 37.4705882353), ('Q1349647', 37.2352941176), ('Q1706423', 37.1176470588), ('Q21946860', 37.0588235294), ('Q21340661', 37.0)]}",1851,Treffort-Cuisiat,1922,Cuiseaux,,,,,,France,,,,,peinture,,,,
295,Jakob Alberty,"{candidats : [('Q1678888', 100.0)]}",1811,Berlin,1870,Berlin,,,,,,Allemagne,,,,,sculpture,,,,
370,Joseph-Paul Alizard,"{candidats : [('Q21161029', 86.3157894737)]}",1867,Langres,1948,Châteauvillain,Artiste,,,,,France,,,,,peinture,,,,
374,L. A. F. Allain-Moulard,,,,,,,,,,,France,,,,,arts décoratifs,,,,
375,Alphonse Allais,"{candidats : [('Q371905', 88.2352941176), ('Q104887584', 22.6470588235), ('Q104889197', 22.6470588235), ('Q104889100', 18.2352941176), ('Q104889215', 17.3529411765)]}",1854-10-20,Honfleur,1905-10-28,Paris,,,,,,France,,,,,peinture,,,,
363,Alix,"{candidats : [('Q235637', 77.7777777778), ('Q1703501', 77.7777777778), ('Q3336666', 77.7777777778), ('Q123630830', 77.7777777778), ('Q115127044', 67.7777777778), ('Q152094', 66.2222222222), ('Q2837259', 64.5555555556), ('Q75805126', 64.0), ('Q2060281', 60.5555555556), ('Q467847', 56.6666666667), ('Q2837280', 56.6666666667), ('Q3891589', 56.6666666667), ('Q1364465', 55.5555555556), ('Q1924925', 55.5555555556), ('Q4727494', 55.5555555556), ('Q100437731', 55.5555555556), ('Q102819597', 55.5555555556), ('Q102860288', 55.5555555556), ('Q110459027', 55.5555555556), ('Q110509359', 55.5555555556), ('Q110579505', 55.5555555556), ('Q110602860', 55.5555555556), ('Q111443371', 55.5555555556), ('Q116168342', 55.5555555556), ('Q131675606', 55.5555555556)]}",,,,,,,,,,France,,,,,arts décoratifs,,,,
400,Augustin-François Allélit,"{candidats : [('Q97772174', 88.2352941176)]}",1825,Orléans,1865,Orléans,,,,,,France,,,,,sculpture,,,,
414,Elisa Allier,"{candidats : [('Q75595511', 35.3846153846)]}",1821,Valence,,,,,,,,France,,,,,peinture,,,,
427,Louis Allombert,,,,,,,,,,,France,,,,,peinture,,,,
441,Eugène Alluaud,"{candidats : [('Q19861198', 88.2352941176)]}",1866,Saint-Martin-Terressus,1947,Crozant,,,,,,France,,,,,peinture,,,,
463,Aloys,"{candidats : [('Q78567', 65.7777777778), ('Q28498764', 65.4444444444), ('Q506521', 62.1111111111), ('Q105383', 61.7777777778), ('Q2650646', 61.7777777778), ('Q2293342', 59.4444444444), ('Q111998', 59.3333333333), ('Q96575', 59.0), ('Q2839366', 56.6666666667), ('Q24211', 53.2222222222), ('Q63842', 52.6666666667), ('Q4734709', 52.2222222222), ('Q2650651', 52.1111111111), ('Q2650653', 52.1111111111), ('Q15782532', 52.1111111111), ('Q310505', 49.8888888889), ('Q108258', 49.3333333333), ('Q55873712', 48.4444444444), ('Q98269', 47.6666666667), ('Q121300', 47.6666666667), ('Q366464', 47.2222222222), ('Q74682', 46.8888888889), ('Q2433969', 46.1111111111), ('Q1537048', 46.0), ('Q70530', 45.5555555556)]}",,,,,,,,,,France,,,,,arts décoratifs,,,,
546,Paul Amelin,"{candidats : [('Q18670445', 73.3333333333)]}",1866,Paris,1941,,,,,,,France,,,,,peinture,,,,
617,David Andersen,"{candidats : [('Q16165034', 81.1764705882), ('Q11959191', 53.7647058824), ('Q1173570', 41.1764705882), ('Q3703084', 41.1764705882), ('Q363409', 40.2352941176), ('Q26997949', 38.6470588235), ('Q27889694', 36.7647058824), ('Q11964840', 35.8823529412), ('Q24565842', 34.4705882353), ('Q16188390', 31.1176470588), ('Q12307812', 30.2352941176), ('Q16188386', 30.2352941176), ('Q11964816', 29.4117647059), ('Q17764915', 29.4117647059), ('Q59833796', 29.4117647059), ('Q113279707', 25.8823529412), ('Q103156882', 25.0), ('Q102291704', 24.1176470588)]}",1843,Oslo,1901,Oslo,,,,,,Norvège,,,,,arts décoratifs,,,,
642,Ivan Feodorov Andreev,,,,,,,,,,,Russie,,,,,arts décoratifs,,,,
661,Mari Andriessen,"{candidats : [('Q844964', 100.0)]}",1897,Haarlem,1979,,,,,,,Pays-Bas,,,,,sculpture,,,,
619,Ramus Morten Andersen,,1861,Orting,1930,Copenhague,,,,,,Danemark,,,,,sculpture,,,,
637,Andreani,"{candidats : [('Q493332', 65.7777777778), ('Q30068049', 64.4444444444), ('Q3017382', 62.7777777778), ('Q3130559', 62.7777777778), ('Q33181220', 61.1111111111), ('Q41487624', 61.1111111111), ('Q106830714', 61.1111111111), ('Q2783120', 59.4444444444), ('Q3158129', 59.4444444444), ('Q55598748', 59.4444444444), ('Q96207470', 59.4444444444), ('Q97464662', 57.7777777778), ('Q3168933', 56.6666666667), ('Q97171540', 55.5555555556), ('Q130509118', 55.5555555556), ('Q56863319', 55.0), ('Q16571237', 51.1111111111), ('Q1747780', 50.6666666667), ('Q109288650', 50.6666666667), ('Q110812396', 50.6666666667), ('Q597467', 50.0), ('Q58343950', 49.4444444444), ('Q16488046', 49.0), ('Q29113304', 49.0), ('Q56612330', 49.0)]}",,,,,,,,,,France,,,,,sculpture,,,,
639,René Andreau,"{candidats : [('Q50810319', 88.2352941176)]}",1870,Moulins,1945,Semur-en-Auxois,,,,,,France,,,,,peinture,,,,
655,Andreson,"{candidats : [('Q4756139', 66.6666666667), ('Q64862487', 57.7777777778), ('Q7363465', 54.2222222222), ('Q1700189', 53.2222222222), ('Q6498623', 50.3333333333), ('Q21648369', 48.6666666667), ('Q50624994', 48.4444444444), ('Q61110764', 48.4444444444), ('Q7481703', 46.7777777778), ('Q18425834', 45.3333333333), ('Q21409346', 40.5555555556), ('Q75526762', 40.5555555556), ('Q100720978', 40.5555555556), ('Q51647505', 38.8888888889), ('Q133708731', 38.8888888889), ('Q133795729', 38.8888888889), ('Q100720977', 37.2222222222), ('Q39087566', 34.4444444444), ('Q106593092', 29.4444444444), ('Q102969692', 23.3333333333)]}",,,,,,,,,,France,,,,,architecture,,,,
688,Gabriel Eugène André,"{candidats : [('Q346648', 41.3333333333), ('Q3185034', 35.4)]}",1863,Bayeux,1929,,,,,,,France,,,,,peinture,,,,
669,Clément-Auguste Andrieux,"{candidats : [('Q2980564', 67.8947368421)]}",1829,Paris,1880,Fontainebleau,Artiste,,,,,France,,,,,peinture,,,,
727,Henri Angeniol,,1870,Chavanay,1959,Barcelone,,,,,,France,,,,,peinture,,,,
757,Adolphe Anjoux,,1816-03-21,,,,Artiste,,,,,France,,,,,photographie,,,,
763,Alfred Joseph Annedouche,"{candidats : [('Q26248676', 84.6153846154)]}",1833,Paris,,,,,,,,France,,,,,peinture,,,,
785,Alexandre Antigna,"{candidats : [('Q371171', 86.3157894737)]}",1817,Orléans,1878,Paris,Artiste,,,,,France,,,,,peinture,,,,
801,Jean Marie Henry Antoine,"{candidats : [('Q5894450', 41.0588235294)]}",1878,Amiens,1914-11-11,inconnu,,,,,,France,,,,,architecture,,,,
806,Antoni,"{candidats : [('Q25328', 81.1111111111), ('Q158099', 71.0), ('Q83003', 69.6666666667), ('Q4067249', 67.3333333333), ('Q318640', 66.5555555556), ('Q605447', 66.5555555556), ('Q167477', 66.0), ('Q1263685', 65.7777777778), ('Q13845588', 65.7777777778), ('Q4776661', 65.6666666667), ('Q5547', 65.3333333333), ('Q109699870', 65.3333333333), ('Q123709863', 65.3333333333), ('Q123867282', 65.3333333333), ('Q1987382', 63.3333333333), ('Q2291', 62.2222222222), ('Q1240', 61.6666666667), ('Q519894', 60.1111111111), ('Q2066586', 60.1111111111), ('Q150679', 59.4444444444), ('Q2857141', 59.0), ('Q182664', 58.5555555556), ('Q58960', 58.3333333333), ('Q553419', 58.1111111111), ('Q7298', 57.5555555556)]}",,,,,,,,,,Italie,,,,,sculpture,,,,
773,Pierre Ansart,"{candidats : [('Q3383734', 77.7777777778), ('Q3383737', 77.7777777778), ('Q65563710', 77.7777777778)]}",,,,,,,,,,France,,,,,arts décoratifs,,,,
851,J. Aranaz,,,,,,,,,,,Espagne,,,,,peinture,,,,
853,Edmond Arantes,,,,,,,,,,,France,,,,,arts décoratifs,,,,
871,Arthur Archambaut,,,,,,,,,,,France,,,,,arts décoratifs,,,,
896,Petrus Aressy,,1857,Toulon,,,,,,,,France,,,,,peinture,,,,
910,Gabriel Argy-Rousseau,"{candidats : [('Q16325232', 76.4705882353)]}",1885,Meslay-le-Vidame,1953,,,,,,,France,,,,,sculpture,arts décoratifs,,,
963,Charles Henri Arnal,,,,,,,,,,,France,,,,,architecture,,,,
986,Arnaudin,"{candidats : [('Q3092360', 71.6666666667), ('Q116311956', 64.4444444444), ('Q65563865', 62.7777777778), ('Q21673831', 61.1111111111), ('Q41505349', 61.1111111111), ('Q59258994', 61.1111111111), ('Q2959093', 48.3333333333), ('Q131655038', 44.4444444444), ('Q115029453', 43.2222222222), ('Q199464', 40.5555555556), ('Q64225806', 38.8888888889), ('Q18578013', 27.7777777778), ('Q125540065', 22.2222222222)]}",,,,,,,,,,France,,,,,architecture,,,,
886,Henri Arden,"{candidats : [('Q3130569', 88.2352941176), ('Q55770015', 22.3529411765)]}",1858,Anvers,1917,Bruxelles,,,,,,Belgique,,,,,peinture,,,,
890,Ardit,"{candidats : [('Q5558767', 52.1111111111), ('Q639510', 50.5555555556), ('Q639529', 50.5555555556), ('Q17612407', 47.4444444444), ('Q27048989', 47.4444444444), ('Q65308351', 47.4444444444), ('Q109231685', 47.4444444444), ('Q85950750', 46.2222222222), ('Q19884098', 45.6666666667), ('Q55458054', 45.5555555556), ('Q16834841', 44.6666666667), ('Q19519985', 44.6666666667), ('Q1751024', 43.0), ('Q3299849', 43.0), ('Q4788147', 43.0), ('Q4788148', 43.0), ('Q19958119', 43.0), ('Q21622282', 43.0), ('Q25238674', 43.0), ('Q61856211', 43.0), ('Q29556157', 42.8888888889), ('Q4788145', 41.3333333333), ('Q560233', 41.2222222222), ('Q127110215', 40.0), ('Q13037095', 38.0)]}",,,,,,,,,,France,,,,,architecture,,,,
908,d'Argouges (comte),,,,,,,,,,,France,,,,,architecture,,,,
937,Joseph Armand-Calliat,"{candidats : [('Q117820004', 47.3684210526), ('Q23661529', 44.7368421053)]}",1862,Lyon,1938,Givry,,,,,,France,,,,,arts décoratifs,sculpture,,,
959,M. Armstrong,"{candidats : [('Q256548', 83.3333333333), ('Q1173590', 73.3333333333), ('Q1615', 72.8888888889), ('Q2026837', 69.5555555556), ('Q7803096', 63.3333333333), ('Q21505333', 63.3333333333), ('Q105832376', 63.3333333333), ('Q127253505', 63.3333333333), ('Q82360', 62.7777777778), ('Q712592', 62.7777777778), ('Q236193', 62.2222222222), ('Q1399617', 58.3333333333), ('Q1099172', 57.2222222222), ('Q2172', 56.6666666667), ('Q21531710', 56.1111111111), ('Q50362353', 56.1111111111), ('Q130570380', 55.5555555556), ('Q25231236', 54.4444444444), ('Q7203903', 51.6666666667), ('Q21505769', 51.1111111111), ('Q24266344', 51.1111111111), ('Q124000571', 51.1111111111), ('Q107977', 50.0), ('Q494186', 50.0), ('Q1762852', 50.0)]}",,,,,,,,,,Royaume-Uni,,,,,arts décoratifs,,,,
987,Félix Arnaudin,"{candidats : [('Q3092360', 88.2352941176), ('Q18578013', 21.7647058824)]}",1844,Labouheyre,1921,Labouheyre,,,,,,France,,,,,photographie,,,,
1016,Mme Arnout,,,,,,,,,,,France,,,,,photographie,,,,
1074,Albert-Émile Artigue,"{candidats : [('Q16027880', 88.2352941176)]}",1850,Buenos Aires,1927,Paris,,,,,,France,,,,,peinture,,,,
1076,Artigues,"{candidats : [('Q12354472', 64.4444444444), ('Q62014434', 64.4444444444), ('Q3106061', 61.1111111111), ('Q98237391', 61.1111111111), ('Q98248529', 61.1111111111), ('Q561930', 57.8888888889), ('Q63763085', 57.7777777778), ('Q515237', 55.5555555556), ('Q732290', 55.5555555556), ('Q1101911', 55.5555555556), ('Q1151936', 55.5555555556), ('Q109576475', 55.5555555556), ('Q17182137', 54.2222222222), ('Q85290921', 51.6666666667), ('Q50353823', 50.0), ('Q78601885', 42.2222222222), ('Q110225743', 42.2222222222), ('Q9011911', 40.0), ('Q56753901', 40.0), ('Q61755444', 38.8888888889), ('Q724063', 36.6666666667), ('Q81214412', 35.5555555556), ('Q11928692', 35.0), ('Q715887', 34.4444444444), ('Q654797', 31.1111111111)]}",,,,,,,,,,France,,,,,photographie,,,,
1083,Raoul Arus,"{candidats : [('Q26970555', 88.2352941176)]}",1848,Nîmes,1921,Paris,,,,,,France,,,,,peinture,,,,
1085,Léon Arvisenet,,1864,Paris,1939,,,,,,,France,,,,,sculpture,arts décoratifs,,,
1109,Gustave Assire,"{candidats : [('Q50378556', 84.6153846154)]}",1870,Angers,,,,,,,,France,,,,,peinture,,,,
1186,Albert Aubertin,"{candidats : [('Q110313738', 22.3076923077)]}",1851,Châlons-en-Champagne,,,,,,,,France,,,,,architecture,,,,
1200,Aubriot,"{candidats : [('Q1369960', 77.7777777778), ('Q36705007', 77.7777777778), ('Q3188406', 63.3333333333), ('Q5386055', 63.3333333333), ('Q109715796', 59.4444444444), ('Q3340043', 57.7777777778), ('Q55620512', 57.7777777778), ('Q98248004', 57.7777777778), ('Q36610870', 55.5555555556), ('Q1710362', 51.3333333333), ('Q98230205', 50.0), ('Q42401701', 42.4444444444), ('Q91430473', 41.1111111111), ('Q108448355', 41.1111111111), ('Q42397363', 39.1111111111), ('Q60047487', 37.2222222222), ('Q102315690', 37.2222222222), ('Q42382137', 36.3333333333), ('Q131312175', 35.5555555556), ('Q132106706', 28.8888888889), ('Q16027506', 24.6666666667), ('Q40381142', 22.7777777778)]}",,,,,,,,,,France,,,,,arts décoratifs,,,,
1204,André Aubry,"{candidats : [('Q2847171', 46.5882352941), ('Q8199252', 45.2941176471), ('Q68563419', 43.1176470588)]}",1880,Chatou,1914-09-26,Margny-aux-Cerises,,,,,,France,,,,,architecture,,,,
1219,E. Aubrée,"{candidats : [('Q3592049', 70.0), ('Q1061210', 46.6666666667)]}",,,,,,,,,,France,,,,,architecture,,,,
1048,Charles Arrowsmith,"{candidats : [('Q125599646', 84.6153846154), ('Q113777312', 34.6923076923), ('Q21536190', 31.5384615385)]}",1798,Paris,,,,,,,,France,,,,,photographie,,,,
1050,Manuel Arroyo y Lorenzo,"{candidats : [('Q27497362', 81.8823529412)]}",1854,Murcie,1902,Murcie,,,,,,Espagne,,,,,peinture,,,,
1087,Kôdô Asahi,,,,,,,,,,,Japon,,,,,sculpture,,,,
1091,Lenore Asbury,"{candidats : [('Q52155836', 84.6153846154)]}",1866,,1933,,,,,,,Etats-Unis,,,,,arts décoratifs,,,,
1120,Hector Astié,,,,,,,,,,,France,,,,,sculpture,,,,
1154,Antoine Ferdinand Attendu,"{candidats : [('Q2853933', 77.6470588235)]}",1845,Paris,1917,,Artiste,,,,,France,,,,,peinture,,,,
1236,Pierre-Alphonse Audebert,,,,1908,La Garenne-Colombes,,,,,,France,,,,,peinture,,,,
1355,W. & T. Avery Ltd,"{candidats : [('Q7958456', 71.4285714286)]}",,,,,,,,,,,,,,,arts décoratifs,,,,
1357,Paul d' Avesn,,,,,,,,,,,France,,,,,arts décoratifs,,,,
1363,Jules Avignon,"{candidats : [('Q3188579', 58.3333333333)]}",,,,,,,,,,France,,,,,photographie,,,,
1364,Charles d' Aviler,"{candidats : [('Q2871505', 65.5555555556)]}",,,,,,,,,,France,,,,,architecture,,,,
1228,Claudius Louis Auclair,,1876,Paris,,,,,,,,France,,,,,architecture,,,,
1250,Audry,"{candidats : [('Q737137', 77.7777777778), ('Q80904027', 59.4444444444), ('Q109810064', 59.4444444444), ('Q42786', 57.1111111111), ('Q15217732', 55.0), ('Q98237786', 55.0), ('Q124251778', 55.0), ('Q52249', 53.3333333333), ('Q2958428', 53.3333333333), ('Q50622692', 53.3333333333), ('Q63610762', 53.3333333333), ('Q65564076', 51.6666666667), ('Q468027', 48.8888888889), ('Q132736223', 45.6666666667), ('Q3383017', 45.5555555556), ('Q130680509', 44.1111111111), ('Q458569', 43.3333333333), ('Q124466819', 43.3333333333), ('Q16444727', 43.0), ('Q16220798', 42.2222222222), ('Q21994028', 40.8888888889), ('Q76124049', 40.8888888889), ('Q114421588', 37.2222222222), ('Q2772013', 36.6666666667), ('Q12345405', 35.2222222222)]}",,,,,,,,,,France,,,,,arts décoratifs,,,,
1267,Auguste-François Augière,"{candidats : [('Q93122033', 55.5555555556)]}",,,,,,,,,,France,,,,,architecture,,,,
1268,Ludwig Augmuller,,,,,,,,,,,Autriche,,,,,arts décoratifs,,,,
1293,Auppe,"{candidats : [('Q1390201', 57.6666666667), ('Q542245', 39.4444444444)]}",,,,,,,,,,France,,,,,arts décoratifs,,,,
1336,Gustave Auvray,"{candidats : [('Q124897104', 80.4)]}",1823,Laizé,1886,,,,,,,France,,,,,architecture,,,,
1367,Caroline Avisseau,,1820,Tours,,,,,,,,France,,,,,arts décoratifs,,,,
1417,Micheline Bablot,,,,,,,,,,,France,,,,,sculpture,,,,
1418,Jules Baboin,,1863,Issoudun,,,,,,,,France,,,,,architecture,,,,
1426,Pierre Jean Louis Bacard,,1820-02-29,,1879-03-18,,,,,,,France,,,,,photographie,,,,
1428,Joseph Baccard,"{candidats : [('Q127271430', 73.3333333333)]}",1843,Lyon,1902,,,,,,,France,,,,,peinture,,,,
1486,Jules Badin,"{candidats : [('Q41795625', 84.6153846154), ('Q120142283', 53.8461538462)]}",1843,Paris,,,,,,,,France,,,,,peinture,,,,
1502,Christian Maximillian Baer,"{candidats : [('Q20926495', 88.2352941176)]}",1853,Nuremberg,1911,Munich,,,,,,Allemagne,,,,,peinture,,,,
