ConstituentID,DisplayName,candidats_scores_wikidata,date_naissance,Lieu_naissance,date_mort,Lieu_mort,Roles 1,Roles 2,Roles 3,Roles 4,Roles 5,Nationalite 1,Nationalite 2,Nationalite 3,Nationalite 4,Nationalite 5,Domaines_activite 1,Domaines_activite 2,Domaines_activite 3,Domaines_activite 4,Domaines_activite 5
17704,Lucien Marinier,"{candidats : [('Q97654965', 55.5555555556)]}",,,,,,,,,,Roumanie,,,,,sculpture,,,,
17709,Etienne Mariol,,1854,Sainte-Eulalie,1934,Bordeaux,,,,,,France,,,,,peinture,,,,
16946,Levot,"{candidats : [('Q3407793', 53.3333333333), ('Q16637130', 50.0), ('Q29566946', 42.7777777778), ('Q4256763', 37.2222222222), ('Q97200965', 32.7777777778), ('Q60217977', 26.6666666667)]}",,,,,,,,,,France,,,,,sculpture,,,,
17081,Joaquin Lluch y Prat,,,,,,,,,,,Espagne,,,,,sculpture,,,,
18074,Larkin Goldsmith Mead,"{candidats : [('Q515535', 78.9473684211), ('Q107139336', 26.3157894737)]}",1835,Chesterfield,1910,Florence,,,,,,Etats-Unis,,,,,peinture,sculpture,,,
18220,Meslais,,,,,,,,,,,France,,,,,sculpture,,,,
17547,Emile Albert de Mandre,"{candidats : [('Q105711938', 53.2173913043)]}",1869,Paris,1943,,Artiste,auteur,,,,France,France,,,,peinture,arts décoratifs,,,
17605,Germaine Marboutin,,1899,Paris,,,,,,,,France,,,,,sculpture,,,,
17643,Ladislas Marcinkowski,,1858,Mieszkow,,,,,,,,Pologne,,,,,sculpture,,,,
17753,Henri Marre,"{candidats : [('Q3131580', 86.6666666667), ('Q3131582', 50.4), ('Q92317686', 32.0), ('Q110548253', 32.0)]}",1858,Montauban,1927,,,,,,,France,,,,,peinture,,,,
18544,Georges Montbard,"{candidats : [('Q13635054', 82.5294117647)]}",1841,Montbard,1905,Londres,,,,,,France,,,,,peinture,,,,
17842,Silverio Martinoli,"{candidats : [('Q3960705', 74.0)]}",,,,,,,,,,Italie,,,,,sculpture,,,,
17890,Bernardino Massari,"{candidats : [('Q110017455', 86.2352941176)]}",1827,Plaisance,1913,Plaisance,,,,,,Italie,,,,,sculpture,,,,
18124,Xavier Mellery,"{candidats : [('Q1041605', 80.1904761905)]}",1845,Laeken,1921,Laeken,Artiste,,,,,Belgique,,,,,sculpture,peinture,,,
18402,Ysabel Minoggio-Roussel,"{candidats : [('Q120765158', 76.4705882353)]}",1875,Argenteuil,1945,,,,,,,France,,,,,peinture,arts décoratifs,,,
19291,Llucià Oslé i Sáenz de Medrano,"{candidats : [('Q9023278', 72.6666666667)]}",1880,Barcelone,1955,,,,,,,Espagne,,,,,sculpture,,,,
18539,Henrietta Montalba,"{candidats : [('Q5716012', 83.1764705882)]}",1856,Londres,1893,Venise,,,,,,Royaume-Uni,,,,,sculpture,,,,
19384,Charles Lucien Joseph Paillard,,1869,Arras,,,,,,,,France,,,,,sculpture,,,,
18608,Edouard Jean Baptiste Moreau,"{candidats : [('Q111371567', 88.2352941176)]}",1825,Sedan,1878,Paris,,,,,,France,,,,,peinture,,,,
18626,Georges Moreau de Tours,"{candidats : [('Q3103232', 86.3157894737), ('Q22683051', 44.7894736842)]}",1848,Ivry-sur-Seine,1901,Bois-le-Roi,Artiste,,,,,France,,,,,peinture,,,,
19434,Innocente Pandiani,"{candidats : [('Q131400555', 60.0)]}",1821,,1901,Milan,,,,,,Italie,,,,,sculpture,,,,
19502,Florence Parkinson,"{candidats : [('Q75897922', 55.5555555556)]}",,,,,,,,,,Royaume-Uni,,,,,sculpture,,,,
19620,Enrico Pazzi,"{candidats : [('Q15918272', 74.4705882353)]}",1819,Ravenne,1899,Florence,,,,,,Italie,,,,,sculpture,,,,
19692,Antonio Penas y Léon,,1810,Grenade,1871,,,,,,,Espagne,,,,,sculpture,,,,
19752,André Benoît Perrachon,"{candidats : [('Q26883485', 88.2352941176)]}",1827,Lyon,1909,Lyon,,,,,,France,,,,,peinture,,,,
19769,Henri François Perret,"{candidats : [('Q106423720', 84.6153846154)]}",1825,Guéret,,,,,,,,France,,,,,peinture,,,,
18966,Gustave-André Navelet,,1832,Châlons-en-Champagne,1915,Reims,,,,,,France,,,,,sculpture,,,,
19025,Virginie Ernestine Marie Nicolas,,1858,Lorient,,,,,,,,France,,,,,peinture,,,,
19891,Ernestine Philippain,,,,,,,,,,,France,,,,,peinture,,,,
